stage,Cardiomyocyte,Endothelial.cell,Enterocyte,Epithelial.cell,Epithelial.cell..Brain.,Erythrocyte,Erythroid.progenitor.cell,Fibroblast,Goblet.cell,Granulocyte,Granulosa.cell,Hepatocyte,Immune.cell,Immune.progenitor.cell,Intestinal.bulb.cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal.cell,Mesenchymal.cell..caudal.fin.,Mt.rich.cell,Muscle.cell,Nephron.cell,Neural.cell,Neural.progenitor.cell,Neurosecretory.cell,Oligodendrocyte,Oocyte,Pancreatic.cell,Primordial.germ.cell,Radial.glia,Retinal.pigment.epithelial.cell,Smooth.muscle.cell,Spermatocyte,T.cell
24hpf,4.08640457285017,0,0,4.08640457285017,0,0,0,0,0,0,0,0,0,0,0,0,16.3456182914007,0,0,0,0,0,0,4.08640457285017,57.2096640199024,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.20937342439823,2.13958228293216,1.06979114146608,0,0,0,0,0,0,0,0,0,2.13958228293216,9.6281202731947,1.06979114146608,2.13958228293216,0,0,0,0,28.8843608195841,5.34895570733039,0,0,0,0,0,2.13958228293216,0,0,0,0
21Day,1.33853308820331,0,0,16.0623970584397,2.67706617640661,2.67706617640661,2.67706617640661,0,0,0,0,0,0,4.01559926460992,1.33853308820331,0,1.33853308820331,2.67706617640661,1.33853308820331,0,0,0,0,24.0935955876595,8.03119852921984,0,0,0,1.33853308820331,0,1.33853308820331,0,0,0,0
3Month,0,0,0,18.5570593741433,0.639898599108391,0,0,0.319949299554195,0.959847898662586,0.639898599108391,0,10.8782761848426,0,0.319949299554195,4.79923949331293,2.55959439643356,3.51944229509615,0.639898599108391,1.27979719821678,0.959847898662586,0,0.639898599108391,0.319949299554195,1.59974649777098,0.319949299554195,0.639898599108391,0,0,0.319949299554195,12.7979719821678,0,0.319949299554195,0.319949299554195,0.959847898662586,3.83939159465034
22Month,0,6.01320116317177,1.09330930239487,26.7860779086742,0,0,0.546654651197433,0,6.5598558143692,4.9198918607769,24.5994593038845,99.4911465179329,1.6399639535923,3.82658255838203,14.7596755823307,3.82658255838203,3.82658255838203,7.10651046556663,4.9198918607769,0,3.82658255838203,0.546654651197433,0,2.18661860478973,0,3.82658255838203,3.2799279071846,1.6399639535923,1.6399639535923,3.2799279071846,0,0,0,0,7.10651046556663
