stage,Endothelial_cell,Enterocyte,Hepatocyte,Intestinal_bulb_cell,Muscle_cell,Neural_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,1.07,0
21Day,0,1.34,0,0,1.34,0,1.34
22Month,0.55,0,0.55,0.55,0,0,0
