stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,28.6,0,0,0
72hpf,0,1.07,0,0,0,0,0,1.07,0,1.07,1.07,1.07,2.14,0,0
21Day,2.68,0,0,2.68,0,0,1.34,0,1.34,5.35,0,0,1.34,0,0
3Month,0,0,0.32,0,0.32,0,0,0,0,0,0,0,0,1.28,0.32
22Month,0,0,0,0,0,2.73,0,0,0,0.55,0,0,0,0,0
