stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,36.78,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,2.14,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,3.21,0,0,4.28,12.84,1.07,0,0,3.21,0,0,1.07,0,0,0
21Day,0,0,6.69,0,0,0,0,0,0,0,0,0,1.34,0,5.35,0,0,0,0,1.34,0,0,0,0,5.35,1.34,0,0,0,0,1.34
3Month,0,0.64,3.84,0.64,0.32,0.32,1.28,1.28,29.12,1.28,0,1.6,1.92,1.6,4.48,1.6,0,0.64,1.6,0,0,8.32,0.32,0,0,0.64,39.67,0,0.64,15.68,0.32
22Month,0,0,1.09,0,0,0.55,0,0,5.47,0,0.55,0.55,0,2.19,0,0,0,0,0,0,0,0.55,0,0.55,0,0,0,0,0,0,0.55
