stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,20.43,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,6.42,0,0,0,0,2.14,1.07,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,1.34,1.34,0
3Month,0.32,0,2.24,0,0.32,0.96,6.08,0.96,2.24,0.64,1.92,1.28,0.32,0.64,0.64,0.32,0.32,0,1.28,104.3,0,129.9
22Month,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83,0,0,0,0
