stage,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,4.09,0,12.26
72hpf,0,2.14,5.35,0
21Day,0,0,2.68,0
22Month,1.64,0,0,0
