stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
21Day,0,1.34,14.72,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,2.68,0,0,0
3Month,0.96,3.52,0,65.27,3.2,2.24,1.92,0,1.92,0.64,0,1.92,0.32,1.6,3.52,0.96,0.32,0,0,0.64,0.32,0,0.96,0.32,0,0,3.84,0.32,2.88,0.32
22Month,6.01,6.01,0,53.03,2.73,1.64,3.83,1.09,18.04,6.01,0.55,1.64,0,1.09,8.2,8.2,0.55,2.19,1.09,0.55,1.09,0,0.55,1.09,0.55,1.09,27.33,1.64,0,2.19
