stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,3.21,4.28,0,66.33,1.07,0,1.07,0,0,2.14,2.14,3.21,3.21,0,0,0
21Day,21.42,1.34,8.03,6.69,0,1.34,0,0,54.88,0,8.03,1.34,1.34,2.68,2.68,16.06,0,2.68,145.9,8.03,1.34,5.35,9.37,0,4.02,24.09,84.33,0,0,0,1.34
3Month,0,0,2.56,0,0.32,0,0.32,0.32,86.39,0.64,0,1.28,0.64,0.32,0.64,1.6,0.64,0,0.32,0,0,0,0.96,0.96,0.32,0,0,0,0.64,0.32,1.6
22Month,0,1.64,1.64,0,0.55,0,0.55,0.55,207.18,0.55,0,1.64,0,0.55,1.09,3.83,10.93,0,0,0,0.55,0.55,0,0,1.64,0,0,0,0.55,0,0.55
