stage,Epithelial_cell,Granulocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte
72hpf,1.07,0,0,0,5.35,4.28,0,1.07,0,0
21Day,6.69,0,0,1.34,1.34,2.68,1.34,0,1.34,0
3Month,0,0.32,0.32,0,0,0,2.24,0,0,0.64
