stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0,0,0
22Month,4.37,1.09,5.47,1.64,5.47,1.09,21.32,0.55,0.55,2.73,0,1.09,2.19,1.64,0.55,0,0,1.09,300.66,0.55
