stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,1.07,1.07,1.07,0,0,0,0,0,0,0,0,0,6.42,2.14,1.07,3.21,0,0,6.42,5.35,0,0,0,1.07,0,0
21Day,1.34,0,1.34,0,0,2.68,0,0,0,0,0,0,0,2.68,2.68,2.68,0,0,0,1.34,1.34,0,1.34,0,0,0,0
3Month,0,0.32,1.92,0,0,0,0.32,2.88,0,9.92,2.56,0,1.92,0.32,2.88,0.64,0,0.64,0.32,0,0,0.32,0,0,0,0.32,0.96
22Month,0,1.09,1.64,0,1.09,0.55,0,6.01,1.09,38.27,3.83,0.55,4.37,0.55,6.01,4.92,2.19,1.09,0,0,0,0.55,0,0.55,0,0,0
