stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,9.63,1.07,0,0,3.21,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0,1.07,2.14,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,13.39,0,18.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,1.92,52.15,4.16,63.03,0,5545.36,11.2,37.43,18.24,0,43.83,21.44,3.52,41.27,32.63,39.03,100.14,29.76,3.2,0,7.04,16.96,7.04,0,4.8,2.24,0,1.92,10.56,43.19,0.32,0,1.28,13.12,39.99,32.31
22Month,0,26.24,0.55,18.04,0,2481.81,1.09,1.09,25.69,2.19,86.92,32.25,5.47,7.65,1.09,4.37,45.92,37.72,2.19,12.03,13.67,0.55,1.09,0,3.28,15.31,0.55,7.11,54.12,1.09,2.19,0,0.55,8.75,0,15.85
