stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,0,0,1.07,0,0,0,0,0,4.28,0,0,1.07,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,1.34,0,0,0,0,0,0
3Month,0.32,0.32,0.32,8.96,0,0,18.56,2.56,7.04,2.56,1.28,0.32,2.24,1.6,0.96,1.28,0,0,0.32,0,0.64,0,18.56,0.32,0.96,1.92
22Month,0,0.55,0.55,0.55,0,0.55,4.37,1.09,15.85,1.09,2.19,0,0,1.09,1.09,0,1.09,0,0,0,1.09,0,3.28,0,0,0
