stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,16.35,16.35,0,0,0,0,0,0,0,0,0,0,32.69,0,155.28,261.53,0,0,0,0,0,0,0,0,0,0,0
72hpf,26.74,3.21,23.54,8.56,18.19,0,2.14,0,0,0,10.7,42.79,1.07,33.16,0,3373.05,236.42,1.07,1.07,56.7,0,0,16.05,1.07,2.14,4.28,0,1.07
21Day,2.68,0,1.34,0,9.37,0,0,1.34,0,2.68,0,4.02,4.02,8.03,1.34,204.8,30.79,2.68,0,17.4,6.69,2.68,0,2.68,0,0,0,1.34
3Month,0,0,0.96,0,0,0.64,0,1.92,0.32,0.32,0,0,0,0.32,0.32,0,0,0,0,0.32,0,7.04,0,0,0,0,3.52,0
22Month,0,0,0.55,0.55,0,0,1.09,12.03,0,1.64,0,1.09,2.73,1.64,0,0,0,0,0.55,0,0,1.64,0,0,0,0,0,1.09
