stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,32.69,4.09,0,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,1.07,0,0,1.07,0,0
21Day,4.02,0,0,2.68,1.34,1.34,0,0,0,0,0,0,4.02,0,0,144.56,5.35,0,2.68,0,0,1.34,1.34,0,0,0,0
3Month,0,0,0,7.36,0,0,0,1.28,4.16,0,4.16,1.92,0.96,1.6,2.24,200.29,2.24,0.32,0,0,0.32,0,0.96,4.48,0,0.96,3.52
22Month,0,1.09,0.55,5.47,0,0,1.09,0.55,2.73,2.19,3.28,0,0,0.55,0.55,179.3,3.28,0.55,0,0,0,1.09,0.55,18.59,0,0,1.09
