stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,17.12,1.07,1.07,1.07,0,0,0,0,0
21Day,1.34,1.34,2.68,0,0,1.34,2.68,5.35,10.71,1.34,2.68,0,2.68,0,1.34,1.34,1.34
22Month,0,0.55,0,1.09,0.55,0,0.55,0,0,0,0,0,0,0.55,0,0,0
