stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,16.35,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,1.07,0,1.07,21.4,2.14,0,0,3.21,1.07,1.07,0
21Day,2.68,1.34,1.34,2.68,0,0,0,0,4.02,16.06,0,1.34,2.68,8.03,5.35,4.02,1.34
3Month,0,0.32,0,0,0,0.32,0,0.32,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0,1.64,0,0,0,0.55,0,0,0,0,0,0,0,0
