stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,12.26,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,4.28,0,0,0,0,0,0,0,0,5.35,1.07,1.07,0,0,0,256.75,11.77,1.07,1.07,1.07,0,0,3.21,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,0,0,1.34,2.68,0,0,1.34,136.53,2.68,0,0,2.68,8.03,0,2.68,1.34,4.02,0,0,1.34
3Month,0.32,2.56,0,0,0.64,0,2.88,0,0.32,0.96,0.64,0.32,0,0.32,0,0,0,1.6,0,0.96,0,0,0,0.64,0,0,0,0.64,0.32,0.64
22Month,0,2.19,0,0.55,2.73,1.09,32.8,1.09,0,1.09,0,0.55,3.83,1.09,0.55,1.09,0.55,3.83,0,1.09,1.09,0,0,1.09,0,0,0,0,0,0
