stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,3.21,24.61,0,0,0,2.14,0,0,1.07,0,0,0,0
21Day,1.34,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,1.34,12.05,0,20.08,24.09,13.39,0,1.34,1.34,0,0,0,1.34,0,0,0
3Month,0,0.32,6.08,12.16,0,0.32,8,1.28,0,5.76,0.96,70.39,0.32,0.64,0.96,2.88,0.64,0.32,0,0,0.32,0,0,0.32,0.64,0,0,2.24,5.12,1.28
22Month,0,2.19,3.83,12.03,0,0,13.67,0.55,0.55,9.29,0,97.3,0,0,0.55,1.64,0,0,0,0,1.09,2.19,0,0.55,0.55,0,0,0,0,1.64
