stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,0,4.28,0,0,0,0,0,0,1.07,3.21,0,0
21Day,0,6.69,1.34,0,0,0,0,0,0,1.34,1.34,1.34,5.35,1.34,5.35,0,0,0,2.68,1.34,0,0,0,0,0,2.68,4.02,0,0
3Month,0,2.56,0,0,0,0,0,0.64,0.96,0.32,3.2,0,0.32,0.64,0,0,0.96,0,0.32,0,0,0,0.32,1.6,0,0,0,0,0.32
22Month,2.73,8.2,0,0.55,0.55,12.03,1.09,22.96,10.39,1.09,34.99,0.55,3.83,15.85,3.28,1.64,1.64,0.55,0,0,1.64,1.09,0.55,0,0.55,0,0,0.55,3.28
