stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,32.69,0,77.64,0,0,0,0,0,4.09,0,4.09,0,0,0,0,4.09,12.26,212.49,53.12,0,0,36.78,331,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,6.42,4.28,0,8.56,1.07,3.21,0,0,0,6.42,0,0,0,0,0,0,2.14,36.37,18.19,16.05,0,0,12.84,13.91,0,0,12.84,0,0,1.07,0,0,1.07,0,0,0
21Day,42.83,2.68,0,125.82,0,6.69,0,1.34,0,66.93,0,0,4.02,0,18.74,1.34,1.34,139.21,49.53,96.37,0,6.69,14.72,12.05,2.68,0,32.12,14.72,1.34,2.68,4.02,1.34,0,1.34,0,2.68
3Month,0.32,0.96,0.32,25.28,0,0,0.96,0,0.96,100.46,0,0,6.08,2.56,0.32,0.96,0.64,18.24,10.88,11.52,2.88,0.32,0.64,0,0,0,0.64,0,4.8,0,0,0,0.32,0.32,2.88,0
22Month,0.55,2.19,0,4.37,0,0,3.28,0,0,131.74,2.73,0,9.29,1.64,0.55,0.55,0,6.01,13.67,14.76,1.09,0,0.55,0,0,0.55,0.55,0,6.56,1.09,0.55,0,0,0,0,0.55
