stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Pancreatic_cell,T_cell
72hpf,0,0,0,2.14,0,0,0,0,0,1.07,0,0,0,2.14,0,0
21Day,0,2.68,1.34,0,0,0,0,0,0,0,1.34,1.34,2.68,1.34,1.34,0
3Month,0.32,0.64,0.32,0,0.32,0,0,0.64,0.32,0.32,0.32,0.32,0,6.72,0,0.32
22Month,0,0.55,0,0,0,0.55,0.55,3.28,0.55,0,0,0,0,0,0,0
