stage,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Macrophage,Neural_cell,Pancreatic_cell
72hpf,0,1.07,0,0,0,0,4.28,0
21Day,1.34,0,0,0,0,0,4.02,0
3Month,0,0,0,0.32,0,0.64,1.6,0
22Month,0,0,0.55,2.19,0.55,0,0,0.55
