stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,0,42.79,2.14,0,2.14,0,0
21Day,0,0,0,0,0,0,2.68,0,0,21.42,1.34,0,0,0,0
3Month,0,0.32,0,1.28,0.64,0,0.32,0.32,0.64,0,0,0,0,0.32,0.32
22Month,0.55,0.55,0.55,6.56,0,1.09,0,0,0,0,0,0.55,0,0,0
