stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,32.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,71.68,0,5.35,2.14,0,0,1.07,0,0,0,0,0,1.07,136.93,2.14,0,3.21,0,0,0,0,11.77,10.7,1.07,0,0,2.14,0,0,0,0,0,0,0,0,0
21Day,20.08,37.48,22.76,46.85,12.05,0,0,56.22,0,0,34.8,0,2.68,147.24,2.68,8.03,1.34,5.35,0,0,2.68,0,18.74,8.03,25.43,5.35,0,8.03,9.37,0,1.34,1.34,2.68,4.02,0,0,1.34
3Month,0.64,2.24,25.92,121.26,0,2.88,0,235.48,3.2,0,564.07,7.36,0.32,495.28,0.64,6.72,7.36,5.44,2.88,0.96,49.27,4.16,0.32,0,32.31,1.6,0,0.32,8,0.32,8,0.64,0,0,2.24,5.44,6.72
22Month,0.55,112.61,26.24,45.92,0,3.28,0.55,110.97,7.65,3.83,1201.55,2.73,1.09,493.08,1.09,0,9.29,6.56,0,42.64,36.63,0,0,0,30.61,0.55,0.55,1.64,1.09,0,11.48,1.09,0.55,0,0,0,2.73
