stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,40.86,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,4.09,12.26,0,0,0,24.52,290.13,0,0,0,0,0,0,0,0,0,0,0
72hpf,28.88,3.21,0,10.7,3.21,12.84,0,0,0,0,0,0,0,0,14.98,2.14,33.16,0,1.07,1.07,1395.01,119.82,0,19.26,37.44,0,0,18.19,1.07,1.07,3.21,0,0
21Day,44.17,5.35,1.34,9.37,0,9.37,0,2.68,0,0,1.34,0,1.34,2.68,4.02,1.34,10.71,0,0,0,406.91,17.4,0,5.35,10.71,6.69,0,4.02,2.68,4.02,0,0,0
3Month,0.96,3.2,0.64,4.8,0,0,0,0,0.64,0,2.88,0.32,0.64,0.64,0.32,0.32,14.72,0.96,0,0,3.52,0,1.6,0,20.16,0,13.44,0.96,0.64,0,0,7.04,0.64
22Month,1.09,2.73,0,0,0,0,0.55,0,0,1.09,7.65,1.09,0,0,1.09,1.64,7.65,0,0.55,0,6.01,0.55,2.19,0.55,14.76,0,13.12,6.01,0,0,0,2.73,0
