stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,3.21,0,0,0,0,0,0,1.07,0,0,2.14,5.35,0,0,0,0
21Day,0,0,5.35,0,0,0,1.34,0,0,2.68,0,0,2.68,1.34,0,0,1.34,0
3Month,0.32,1.92,0.32,0.96,2.56,0.32,0,1.6,0.32,1.28,1.92,0.32,0.32,0,0.32,0.96,0,11.84
