stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,89.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,1791.9,3.21,0,8.56,20.33,10.7,0,0,0,0,0,0,0,0,4.28,25.67,0,25.67,0,0,0,0,87.72,52.42,0,16.05,0,0,5.35,2.14,2.14,0,0,0
21Day,318.57,0,0,5.35,12.05,2.68,4.02,0,0,0,1.34,0,24.09,0,0,8.03,4.02,18.74,0,0,4.02,0,16.06,12.05,0,4.02,8.03,2.68,4.02,0,4.02,0,0,0
3Month,409.54,1.28,0.64,11.2,1.28,0,0,1.28,2.88,0.32,17.92,4.8,0.64,3.84,0.96,3.84,3.52,5.44,1.28,0,1.6,0.32,0,0,0,0.32,1.28,6.72,0,0,0,1.28,28.16,3.84
22Month,231.23,3.28,1.09,4.37,1.64,0,0,0.55,5.47,2.19,54.67,3.28,0.55,5.47,0,0.55,3.28,4.92,0.55,1.09,1.09,0,0,0,0.55,0,0,3.83,0.55,0.55,0,1.09,0,1.09
