stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,3.21,0,0,2.14,1.07,0,0,0,0,0
21Day,0,0,0,4.02,0,1.34,0,1.34,0,0,0,0,0,1.34,1.34,0,0
3Month,0.32,1.6,0,0,7.36,0.64,0.32,0.64,0,0,0,0,0.32,0,0.32,1.28,0.32
22Month,0,0.55,0,0,15.85,1.09,0,0,0.55,1.09,0,0,0,0,0,0.55,0
