stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Mesenchymal_cell,Primordial_germ_cell
72hpf,7.49,1.07,1.07,0,0,0,0,0
21Day,9.37,0,0,0,0,0,0,0
3Month,0,0,0.32,0.32,0,0,0,0.32
22Month,0.55,0,0,7.11,0.55,0.55,0.55,0
