stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,1.07,1.07,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,2.68,0,0,0,1.34,0,1.34,0,0,0,0,1.34
3Month,0.96,4.48,0,0.32,3.52,0.32,0,3.2,0.32,7.36,0.64,1.6,3.52,1.28,0.32,0.32,0,0,0.32,0.32,0.64,0.32,1.6
22Month,1.09,0.55,0,0,0.55,1.09,0.55,5.47,0,7.11,0,0,1.09,1.09,0,0,0,0,0,0.55,0,0,0
