stage,Epithelial_cell,Erythrocyte,Ionocyte,Keratinocyte,Neural_cell,Osteoblast
24hpf,4.09,0,0,0,0,0
72hpf,0,0,1.07,0,1.07,1.07
21Day,1.34,1.34,0,1.34,0,0
