stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,0,98.07,8.17,0,0,0,0,0,0,0,0,0,4.09,0,0,36.78,0,0,0,4.09,359.6,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,16.05,6.42,0,0,0,0,0,0,0,0,0,14.98,1.07,0,18.19,16.05,0,0,39.58,16.05,0,0,0,9.63,3.21,0,4.28,2.14,5.35,0,0,0
21Day,1.34,0,0,9.37,9.37,0,2.68,0,0,0,2.68,0,0,0,2.68,0,0,14.72,0,1.34,0,2.68,1.34,0,0,0,14.72,10.71,0,1.34,1.34,26.77,0,0,1.34
3Month,0,0.32,0.32,36.15,0,0,0.64,0.96,0.96,0.32,236.44,0.96,0.32,2.24,0.96,3.2,0.32,7.04,0,1.28,0.64,3.2,0.32,0.96,0.64,0,0.32,2.88,1.28,0,0,0,2.56,0.96,3.52
22Month,0,1.64,1.64,84.18,0,2.19,1.09,1.64,4.92,0.55,741.81,2.19,2.19,4.92,1.64,2.19,2.19,4.37,10.39,0.55,0,2.19,0,0.55,1.64,2.19,0,1.09,1.09,0.55,1.09,0,0,0,3.83
