stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
21Day,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34
3Month,3.52,0,0,2.24,0.64,0.32,0.96,0.96,0.64,0.32,0.64,0.32,0.32,0,0.32,0.32,0.96
22Month,0,0.55,0.55,8.2,0,0.55,3.28,0,0,0.55,0.55,0,1.09,0.55,0,0,1.64
