stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Neural_cell,Oligodendrocyte
24hpf,4.09,0,0,0,0,0
72hpf,0,0,0,0,1.07,1.07
21Day,4.02,0,0,0,0,0
3Month,1.28,0,0,0.32,0.96,0
22Month,0,0.55,1.09,0,0,0
