stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,20.43,0,0,0,0,0,73.56,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,1.07,0,0,0,1.07,0,0,0,0,0,0,0,1.07,1.07,0,3.21,0,1.07,0,0,22.47,10.7,0,2.14,0,0,1.07,0,0,0,0,0
21Day,6.69,0,0,14.72,0,5.35,0,6.69,0,0,0,0,0,5.35,2.68,2.68,8.03,4.02,20.08,0,0,2.68,0,9.37,6.69,1.34,1.34,2.68,0,0,1.34,0,1.34,0,1.34
3Month,0.32,0.32,0.32,16.64,0.32,0,0.64,0.64,2.24,6.08,0,27.2,3.2,1.6,15.04,1.28,5.12,4.8,5.44,1.28,0,1.6,2.56,1.28,0,2.24,0.64,0.32,21.76,0.32,0,0.32,2.24,3.84,5.44
22Month,0,0.55,2.19,7.11,0,0,0.55,0,0,6.01,2.19,71.61,1.09,1.64,11.48,0,2.19,9.84,4.92,0,2.19,0,0.55,0.55,0.55,2.19,0,0,4.37,0.55,1.09,0,0.55,0,1.64
