stage,Epithelial_cell,Goblet_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,1.07,1.07,0,0,0
3Month,1.92,0.32,0.32,0.64,0,0,0,0,0.32,0.64
22Month,0.55,0,0.55,0,0.55,0,0,0,0,0
