stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,6.42,1.07,0,0,1.07,0,0,0,0,0,0,0,0
21Day,80.31,1.34,18.74,104.41,89.68,36.14,1.34,1.34,13.39,2666.36,33.46,4.02,84.33,60.23,89.68,26.77,1.34,196.76,62.91,8.03,6.69,42.83,62.91,10.71,16.06,14.72,14.72,1.34,1.34,62.91
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,0,0.96,0,0.32,0,0,0,0,0,0.64,0,0,0,0,0,1.92
22Month,0,0,0,0,0,0,0,0,3.28,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,4.37
