stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,3.21,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,6.42,1.07,0,1.07,0,0,0,0
21Day,1.34,1.34,1.34,0,0,0,0,10.71,0,0,0,0,1.34,0,1.34,4.02,0,1.34,0,1.34,0,0,1.34
3Month,0,0.32,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0.32,0,0.32,0,0,0.64,0,0
22Month,0.55,2.19,0,0.55,0.55,39.91,1.64,1.09,3.83,0.55,1.09,1.09,4.37,2.19,0.55,0,0.55,0,0,0,1.09,0.55,0
