stage,Epithelial_cell,Erythrocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,0,0,4.09,0,24.52,0,0
72hpf,0,1.07,1.07,1.07,8.56,64.19,26.74,3.21,2.14
21Day,2.68,0,0,0,0,1.34,1.34,0,0
