stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Spermatocyte,T_cell
24hpf,4.09,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0
72hpf,1.07,0,0,2.14,4.28,0,0,0,33.16,7.49,1.07,2.14,0,0
21Day,18.74,0,0,1.34,14.72,1.34,4.02,0,25.43,1.34,1.34,0,0,0
3Month,1.92,1.28,0.32,0.32,0.64,0.32,0,0.64,0,0,0,0,0.32,0.32
22Month,0.55,1.64,0,0,0,0,0.55,0.55,0,0,0,0,0,0
