stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,20.43,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.63,2.14,2.14,0,0,1.07,0
21Day,0,0,1.34,0,1.34,0,0,0,0,0,0,0,1.34,0,0,1.34,12.05,2.68,2.68,1.34,0,0,0
3Month,1.92,0,0,0,0.32,0,13.12,1.92,0,0.32,2.56,0,1.28,0.64,0,0.32,0.32,0,0,0,0.96,0,0.96
22Month,0,0,0,0.55,0.55,0.55,14.76,0.55,0.55,0,0.55,0.55,0.55,0,1.09,0,0,0,0,0,0,0.55,0
