stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,12.26,0,0,0,0,0,0,0,0,0,0,8.17,0,0,98.07,0,0,0,0,241.1,0,0,12.26,0,0,0,4.09,0,0,0
72hpf,7.49,0,0,12.84,1.07,0,0,0,0,0,0,0,0,0,22.47,4.28,0,47.07,0,2.14,1.07,25.67,38.51,0,0,39.58,1.07,0,19.26,5.35,0,0,0
21Day,4.02,0,0,30.79,0,4.02,0,0,0,0,0,0,4.02,6.69,0,4.02,0,37.48,0,9.37,0,8.03,13.39,0,4.02,18.74,2.68,0,6.69,5.35,0,0,2.68
3Month,0.32,0.96,0.32,13.76,0,0,0.32,0.32,0.64,0.32,4.48,1.6,0,14.08,1.6,6.08,2.56,9.92,2.56,0.32,3.2,0.96,0,2.56,1.28,0.96,0.32,0.96,0.32,1.28,0.64,61.11,1.28
22Month,0,1.09,1.09,5.47,0,0,0,1.09,3.28,2.73,5.47,0,0,8.75,0,0.55,3.28,9.29,0,1.64,0,0,1.64,0.55,0.55,1.09,0,0,2.19,0,0,0.55,0.55
