stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,1.07,0,0,0,0,0,0,2.14,0,0,1.07,0,9.63,3.21,0,0,0,1.07,0
21Day,1.34,0,1.34,0,0,0,0,0,0,1.34,2.68,0,2.68,0,1.34,1.34,0,2.68,0,1.34,0
3Month,0,0.32,0.32,0,0,0,0.32,0.32,0.32,0,0.32,0,0,0,0,0,0,0,0.96,0,3.84
22Month,0,0.55,0,0.55,0.55,1.09,3.83,0,1.09,0,0,0.55,0.55,0.55,0,0,0.55,0,0.55,2.73,0.55
