stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,0,8.17,0,0,0,0,0,0,4.09,0,0,4.09,57.21,4.09,0,0
72hpf,3.21,1.07,2.14,0,0,0,0,1.07,2.14,0,5.35,0,1.07,8.56,3.21,0,0
21Day,0,0,5.35,1.34,0,0,1.34,0,0,1.34,4.02,0,1.34,2.68,2.68,0,0
3Month,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0.55,1.09,0,0.55,4.92,0.55,0,0,0,1.09,0.55,0,0,0.55,1.09,0.55
