stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0
72hpf,1.07,0,0,0,0,0,1.07,0,5.35,0,0,1.07,0,1.07
21Day,0,0,0,0,0,0,6.69,0,21.42,0,0,0,0,0
3Month,0.32,2.88,0.96,0.64,1.92,0.32,21.76,0.32,2.56,0.64,0.32,0,0,0
22Month,0,0,0,0,0.55,0,3.28,0,0,0,0,0,0,0
