stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,12.26,0,0,322.83,4.09,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,6.42,0,0,0,0,0,1.07,0,2.14,0,1.07,136.93,5.35,0,24.61,1.07,0,0,0,0,0,0
21Day,1.34,0,0,2.68,0,0,0,1.34,1.34,0,2.68,1.34,0,2.68,17.4,2.68,0,68.27,0,1.34,0,1.34,0,0,1.34
3Month,0,0.32,1.6,0,0.32,8.96,0.64,1.28,0.32,0,0.32,0.96,0.32,0.64,6.72,0.32,0.32,63.67,0,0,4.48,0,0.64,1.92,0.32
22Month,0,0,0.55,0,0,7.65,0,1.09,0,0.55,1.09,0,0,0,1.09,0,0,75.44,0.55,0,1.64,0,0.55,0,1.09
