stage,Cardiomyocyte,Enterocyte,Erythrocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,4.09,0,0,8.17,0,0,0,0,0
72hpf,3.21,0,2.14,0,0,0,0,4.28,1.07,0,0,0,1.07,1.07
21Day,0,0,4.02,1.34,1.34,0,1.34,2.68,0,2.68,0,0,4.02,24.09
22Month,0,0.55,0,0,0,0,0,0,0,0,0.55,0.55,0,0
