stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,2.14,1.07,0,10.7,0,0,1.07,1.07,0,0,0
21Day,1.34,2.68,0,0,0,0,0,1.34,0,0,2.68,1.34,0,0,2.68,2.68,0,0
3Month,0,3.2,0,0.32,0.96,0.32,0.32,1.92,0.32,0.32,0,0,0.32,0,0.64,0,0.32,0.32
22Month,0,0,0,0.55,2.19,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0
