stage,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,T_cell
24hpf,4.09,0,0,0,0,0,4.09,4.09,4.09,8.17,0
72hpf,0,1.07,0,0,0,1.07,2.14,0,0,1.07,0
21Day,0,1.34,0,0,0,1.34,0,0,0,0,1.34
3Month,0.32,0,0,0.32,0,0,0,0,0,0,0.32
22Month,0,0,0.55,0.55,0.55,0,0,3.83,0,0,0
