stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,294.22,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,2.14,1.07,11.77,0,0,0,0,0,0,0,1.07,5.35,0,9.63,0,0,60.98,559.5,0,0,12.84,0,0,297.4,0,1.07,0
21Day,0,0,0,4.02,1.34,1.34,0,0,0,0,0,1.34,0,0,0,0,1.34,1.34,1.34,4.02,54.88,0,1.34,0,2.68,0,12.05,0,0,0
3Month,0,0.64,0.32,7.04,0.32,0,3.2,0.96,0.32,4.8,0.96,0,0.96,0,1.28,0.64,0.32,0.64,0,0.32,0.32,0,0,0,0.96,8.64,0.32,0.32,0,42.23
22Month,0,0,1.64,3.83,0,0,0.55,0.55,0,13.12,0,0.55,0.55,0,0,0.55,1.09,0,0,0.55,3.83,0.55,0,0.55,0,20.23,0,0,0,0
