stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,17.12,2.14,4.28,0,0,0,0,0,0,0,2.14,11.77,0,1.07,0,0,0,21.4,1.07,1.07,0,0,0,0,1.07,0,0,0
21Day,1.34,0,32.12,1.34,2.68,1.34,0,0,0,0,0,0,0,2.68,0,2.68,0,0,0,6.69,1.34,0,2.68,0,0,1.34,0,0,0,0
3Month,0,1.6,59.51,0.64,0,0,2.24,1.6,12.48,2.88,0,3.84,6.08,3.2,3.2,3.84,0.32,1.28,1.92,8.96,1.6,1.28,0.64,1.6,27.52,0,0,0.64,460.73,1.92
22Month,0,0.55,29.52,0,0,0,0.55,2.19,4.92,0.55,0.55,1.09,0.55,1.09,1.64,1.09,0,0,0,1.64,0,0,0,0,33.89,0,0,0,1.09,0.55
