stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,4.09,4.09,0,0,0,0,0,0,0,4.09,0,24.52,24.52,0,0,28.6,106.25,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,2.14,2.14,0,0,0,0,0,5.35,2.14,0,4.28,0,0,65.26,12.84,1.07,0,7.49,0,0,1.07,0,0,0
21Day,1.34,2.68,2.68,0,1.34,0,0,0,0,1.34,0,2.68,0,36.14,0,4.02,65.59,2.68,0,0,1.34,0,0,0,1.34,0,1.34
3Month,0,1.92,0.64,0,0,0,0.64,0.32,0,0,0,0.64,0.64,0.64,0,0.32,0,0,0,0,0,0.64,1.6,0,0,2.56,0.32
22Month,0,10.93,0,0,0,0.55,10.39,0,0.55,1.09,0,0,0,1.09,0.55,0.55,4.37,0.55,0,0.55,0,0,1.64,1.64,0,0.55,0.55
