stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,20.43,4.09,0,0,0,0,0,0,4.09,0,0,0,0,12.26,0,0,0,0,0,0,0,81.73,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,4.28,0,7.49,2.14,1.07,0,0,0,0,0,0,0,0,0,0,2.14,8.56,0,12.84,0,1.07,1.07,25.67,19.26,1.07,0,22.47,1.07,0,6.42,0,0,0,0
21Day,1.34,1.34,0,6.69,2.68,2.68,0,0,4.02,0,0,0,1.34,0,0,0,1.34,1.34,1.34,60.23,0,0,8.03,13.39,20.08,8.03,0,29.45,1.34,1.34,8.03,1.34,0,0,0
3Month,0.32,5.12,0.32,17.28,0.32,0,0.32,0,49.91,2.24,0.64,0,5.44,0.64,0,3.2,0.64,2.24,2.24,31.36,5.76,0,5.44,0.64,0.32,5.76,0.96,3.2,2.24,6.4,1.6,0,3.2,1.6,1.28
22Month,0,4.37,1.64,12.03,0,0,0.55,0.55,21.32,1.64,2.19,0,24.6,0.55,0.55,7.65,1.09,1.09,11.48,43.73,0.55,1.09,2.73,0.55,0.55,9.84,0,1.64,0.55,7.11,13.67,0,1.09,0,0.55
