stage,Hepatocyte,Intestinal_bulb_cell,Neural_cell,Retinal_cell,Retinal_cone_cell
72hpf,0,0,1.07,4.28,2.14
3Month,0.96,0.96,0,0,0
22Month,1.64,0,0,0,0
