stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,10.7,0,2.14,0,0,0,2.14,3.21,0,0,2.14,0,0,0,0,0,0
21Day,0,0,8.03,2.68,0,1.34,0,0,0,0,0,1.34,0,5.35,0,4.02,0,0,0,1.34,0,0,0,2.68,0,0,0,0,0,0
3Month,0.64,0.32,11.84,0,0,0.32,1.28,3.84,0,6.4,1.28,2.24,1.28,2.88,1.6,1.6,0.32,0.32,0.32,0.32,0.32,0.64,0.32,0.64,0.32,2.24,0,0.64,14.08,0.32
22Month,0,0,1.09,0,0.55,0,0,1.64,0.55,7.65,0.55,1.64,0,0,0.55,1.09,0,0,0,0,0.55,0,0,0,0,0.55,0.55,0,0,0.55
