stage,Cardiomyocyte,Epithelial_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,T_cell
21Day,1.34,0,0,0,5.35,1.34
3Month,0,1.28,0.32,0.32,2.24,1.28
