stage,Endothelial_cell,Enterocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,0,0,0,0,2.14,3.21,2.14,0,1.07,19.26,0
21Day,0,1.34,0,0,0,2.68,0,1.34,0,9.37,0
3Month,0,0,0.32,0,0,0,0,0,0,0,0.64
22Month,1.09,0,1.64,1.09,0,0,0,0,0,0,0
