stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,151.2,0,0,0,0,0,4.09,4.09,0,0,0,4.09,0,0,0,0,0
72hpf,197.91,0,1.07,0,0,1.07,2.14,1.07,0,0,36.37,2.14,0,1.07,0,0,0
21Day,330.62,1.34,2.68,1.34,1.34,0,1.34,4.02,1.34,1.34,2.68,1.34,1.34,0,1.34,2.68,1.34
