stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,114.42,4.09,0,0,0,0,0,0,147.11,0,0,0,40.86,0,0,0,0,0,0
72hpf,3.21,0,0,0,0,0,0,1.07,2.14,0,1.07,2.14,4.28,2.14,0,0,7.49,0,0
21Day,1.34,0,0,0,0,0,0,0,4.02,0,0,5.35,1.34,1.34,0,0,2.68,0,0
3Month,0.32,0,0.32,0.64,0.32,1.28,0.96,0,1.28,0,0,0.96,0,0,0.64,5.44,0,1.92,0.32
22Month,0,0,0,0,0,3.28,0.55,0,0,0.55,0,0,0,0,0,4.37,0,0,0
