stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,2.14,0,3.21,1.07,0,0,0,0,0,0,0,0,1.07,4.28,0,2.14,0,434.34,25.67,1.07,4.28,8.56,0,0,8.56,0,0,0,0,0
21Day,4.02,0,4.02,1.34,9.37,0,1.34,0,0,0,0,2.68,0,0,1.34,1.34,5.35,0,109.76,5.35,0,9.37,5.35,5.35,0,1.34,1.34,1.34,2.68,0,1.34
3Month,0,1.6,1.92,0,0,0,0,0.32,0.32,4.16,0.32,0.64,0.64,0.32,0.64,1.28,0.32,0.64,0.64,0,0,0.64,0,0.32,0,0,0,0,0,0.64,0.96
22Month,0,0.55,0.55,0,0,0.55,0.55,0,0.55,15.85,1.09,0,0.55,0,0.55,1.09,1.64,0,0,0,0,2.19,0,0,0.55,0.55,0,0,0,0,1.09
