stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Smooth_muscle_cell
72hpf,0,0,0,0,0,0,0,0,3.21,0,0,0,1.07,0
21Day,0,0,0,0,0,1.34,0,2.68,1.34,2.68,1.34,1.34,0,0
3Month,0.32,0.32,1.92,0.32,2.24,0,0.32,0,3.84,0.32,0,0,0,7.36
