stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,20.43,12.26,93.99,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,0,1.07,0,0,0,0,0,0,0,1.07,0,1.07,2.14,67.4,28.88,0,0,1.07,0,0,0,1.07,0,0,0
21Day,1.34,0,5.35,0,0,1.34,0,1.34,1.34,0,2.68,0,0,1.34,0,9.37,29.45,12.05,0,1.34,5.35,1.34,0,1.34,0,0,0,0
3Month,0,0,0.96,0.32,0,0,0.32,0.32,1.92,0.32,0,2.24,0,0.32,0.32,0.64,0,0,0.32,0.32,0,0,0.64,0,0,0.32,0.32,0.32
22Month,1.64,0.55,0,0,0,0,0,0,3.28,0,0,1.64,0,0,0.55,0.55,0,0.55,0.55,1.09,0,0,0,0.55,0,0.55,0,0
