stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0
21Day,1.34,0,0,0,1.34,0,1.34,0,0,4.02,0,1.34,0,0,0
3Month,1.6,0,0.64,0.64,0,0.96,0.64,0.64,0.32,0,5.12,0,0.32,2.88,0
22Month,0,0.55,7.11,0,0,0,0,0,0,0,1.09,0,0,0,0.55
